id_unidade_prod,id_equipamento_separacao,id_malha_ref,espec_abertura_malha,dt_manut_componente
PROC_PRI_03,14,5,8000,2022-06-23
PROC_PRI_03,15,1,154,2022-06-23
PROC_PRI_03,15,2,1700,2022-06-23
PROC_PRI_03,15,3,2500,2022-06-23
PROC_PRI_03,15,4,4030,2022-06-23
PROC_PRI_03,15,5,8000,2022-06-23
PROC_PRI_03,14,1,3000,2023-09-15
PROC_PRI_03,14,2,2300,2023-09-15
PROC_PRI_03,14,3,1250,2023-09-15
PROC_PRI_03,14,4,497,2023-09-15
PROC_PRI_03,14,5,200,2023-07-06
PROC_PRI_03,15,1,3000,2023-09-15
PROC_PRI_03,15,2,2300,2023-09-15
PROC_PRI_03,15,3,1250,2023-09-15
PROC_PRI_03,15,4,477,2023-09-15
PROC_PRI_03,15,5,200,2023-09-15
PROC_PRI_03,23,1,104,2023-06-06
PROC_PRI_03,24,1,104,2023-06-06
PROC_PRI_03,25,1,104,2023-06-06
PROC_PRI_03,23,1,4000,2023-07-06
PROC_PRI_03,23,2,2300,2023-07-06
PROC_PRI_03,23,3,1250,2023-07-06
PROC_PRI_03,23,4,497,2023-07-06
PROC_PRI_03,23,5,200,2023-07-06
PROC_PRI_03,24,1,4000,2023-07-06
PROC_PRI_03,24,2,2300,2023-07-06
PROC_PRI_03,24,3,1250,2023-07-06
PROC_PRI_03,24,4,497,2023-07-06
PROC_PRI_03,24,5,200,2023-07-06
PROC_PRI_03,25,1,4000,2023-09-15
PROC_PRI_03,25,2,2300,2023-09-15
PROC_PRI_03,25,3,1250,2023-09-15
PROC_PRI_03,25,4,497,2023-09-15
PROC_PRI_03,25,5,200,2023-09-15
PROC_PRI_03,23,1,4500,2023-09-15
PROC_PRI_03,23,2,4000,2023-09-15
PROC_PRI_03,23,3,200,2023-09-15
PROC_PRI_03,23,4,Sem rede,2023-09-15
PROC_PRI_03,23,5,Sem rede,2023-09-15
PROC_PRI_03,24,1,4500,2023-09-15
PROC_PRI_03,24,2,4000,2023-09-15
PROC_PRI_03,24,3,200,2023-09-15
PROC_PRI_03,24,4,Sem rede,2023-09-15
PROC_PRI_03,24,5,Sem rede,2023-09-15
PROC_PRI_03,14,1,2300,2023-10-19
PROC_PRI_03,15,1,2300,2023-10-19
PROC_PRI_03,14,2,1700,2023-10-19
PROC_PRI_03,15,2,1650,2023-10-19
PROC_PRI_03,23,2,3000,2023-10-19
PROC_PRI_03,24,2,3000,2023-10-19
PROC_PRI_03,25,1,2300,2023-10-19
PROC_PRI_03,25,2,1570,2023-10-19
PROC_PRI_03,25,3,1030,2023-10-19
PROC_PRI_03,14,1,1910,2024-01-23
PROC_PRI_03,15,1,1910,2024-01-23
PROC_PRI_03,25,1,1910,2024-01-23
PROC_PRI_03,23,2,2500,2024-06-14
PROC_PRI_03,24,2,2500,2024-06-14
LOC_AREA_0,7,5,766,2022-06-30
LOC_AREA_0,7,4,1250,2022-06-30
LOC_AREA_0,7,3,1570,2022-06-30
LOC_AREA_0,7,2,Sem rede,2022-06-30
LOC_AREA_0,7,1,1910,2022-06-30
LOC_AREA_0,7,4,1150,2025-01-29
PROC_PRI_01,19,2,2060,2022-06-26
PROC_PRI_01,19,2,2080,2022-06-26
PROC_PRI_01,19,2,2175,2022-06-26
PROC_PRI_01,19,5,209,2022-06-29
PROC_PRI_01,19,5,263,2022-06-29
PROC_PRI_01,19,5,270,2022-06-29
PROC_PRI_01,19,5,315,2022-06-29
PROC_PRI_01,19,5,317,2022-06-29
PROC_PRI_01,20,1,8.06,2022-10-28
PROC_PRI_01,20,2,5.37,2022-10-28
PROC_PRI_01,20,3,170,2022-10-28
PROC_PRI_01,21,1,8.06,2022-10-28
PROC_PRI_01,21,2,5.37,2022-10-28
PROC_PRI_01,21,3,170,2022-10-28
PROC_PRI_01,18,1,3930,2022-10-28
PROC_PRI_01,18,4,477,2022-10-28
PROC_PRI_01,19,1,3730,2022-10-28
PROC_PRI_01,19,2,2380,2022-10-28
PROC_PRI_01,19,3,1030,2022-10-28
PROC_PRI_01,19,4,477,2022-10-28
PROC_PRI_01,19,5,229,2022-10-28
PROC_PRI_01,18,5,229,2022-06-23
PROC_PRI_01,18,4,497,2022-06-23
PROC_PRI_01,18,3,1030,2022-06-23
PROC_PRI_01,18,2,2030,2022-06-23
PROC_PRI_01,18,1,4000,2022-06-23
PROC_PRI_01,19,5,229,2022-06-23
PROC_PRI_01,19,4,497,2022-06-23
PROC_PRI_01,19,3,1030,2022-06-23
PROC_PRI_01,19,2,2330,2022-06-23
PROC_PRI_01,19,1,4000,2022-06-23
PROC_PRI_01,20,3,154,2022-06-23
PROC_PRI_01,20,2,4030,2022-06-23
PROC_PRI_01,20,1,10000,2022-06-23
PROC_PRI_01,20,4,Sem rede,2022-06-23
PROC_PRI_01,20,5,Sem rede,2022-06-23
PROC_PRI_01,21,3,154,2022-06-23
PROC_PRI_01,21,2,4030,2022-06-23
PROC_PRI_01,21,1,10000,2022-06-23
PROC_PRI_01,21,4,Sem rede,2022-06-23
PROC_PRI_01,21,5,Sem rede,2022-06-23
PROC_PRI_01,19,2,2000,2022-06-26
PROC_PRI_01,19,2,2030,2022-06-26
PROC_PRI_01,19,3,2060,2022-06-26
PROC_PRI_01,19,2,2080,2022-06-26
PROC_PRI_01,19,2,2175,2022-06-26
PROC_PRI_01,19,5,209,2022-06-29
PROC_PRI_01,19,5,263,2022-06-29
PROC_PRI_01,19,5,270,2022-06-29
PROC_PRI_01,19,5,315,2022-06-29
PROC_PRI_01,19,5,317,2022-06-29
PROC_PRI_01,20,1,8.06,2022-10-28
PROC_PRI_01,20,2,5.37,2022-10-28
PROC_PRI_01,20,3,170,2022-10-28
PROC_PRI_01,21,1,8.06,2022-10-28
PROC_PRI_01,21,2,5.37,2022-10-28
PROC_PRI_01,21,3,170,2022-10-28
PROC_PRI_01,18,1,3930,2022-10-28
PROC_PRI_01,18,4,477,2022-10-28
PROC_PRI_01,19,1,3730,2022-10-28
PROC_PRI_01,19,2,2380,2022-10-28
PROC_PRI_01,19,3,1030,2022-10-28
PROC_PRI_01,19,4,477,2022-10-28
PROC_PRI_01,19,5,229,2022-10-28
PROC_PRI_01,20,1,9500,2023-07-06
PROC_PRI_01,20,2,5000,2023-07-06
PROC_PRI_01,20,3,Sem rede,2023-07-06
PROC_PRI_01,20,4,Sem rede,2023-07-06
PROC_PRI_01,20,5,208,2023-07-06
PROC_PRI_01,21,1,9500,2023-07-06
PROC_PRI_01,21,2,5000,2023-07-06
PROC_PRI_01,21,3,Sem rede,2023-07-06
PROC_PRI_01,21,4,Sem rede,2023-07-06
PROC_PRI_01,21,5,208,2023-07-06
PROC_PRI_01,20,2,5.37,2023-07-15
PROC_PRI_01,21,2,5.37,2023-07-15
PROC_PRI_01,20,4,3100,2023-07-21
PROC_PRI_01,21,4,3100,2023-07-21
PROC_PRI_01,19,4,477,2024-02-15
PROC_PRI_01,19,1,4000,2024-02-15
PROC_PRI_01,18,4,477,2024-02-15
PROC_PRI_01,18,5,208,2024-02-15
PROC_PRI_01,20,5,173,2024-10-17
PROC_PRI_01,18,3,1250,2025-01-10
PROC_PRI_01,19,3,1250,2025-01-10
PROC_PRI_01,21,2,5000,2025-03-26
PROC_PRI_01,21,4,3370,2025-03-26
PROC_PRI_01,21,5,172,2025-03-26
PROC_PRI_01,19,5,198,2025-04-02
PROC_PRI_01,19,2,2170,2025-04-02
